, Title,Artist(s),Genre,Album,Date Released,Length of Track,Language,Country of Origin (artist(s)),Rating,Review,Race of Artist(s) ,Gender of Artist(s)
1,The Party & The After Party,The Weeknd,RnB & Soul,House Of Balloons (Original),"March 21, 2011",7:40,English,Canada,5.0/10,"So far his voice is nice, the sound of this beat is really irritating. This dude is too freaked out for this type of music IMO. That type of language is more suited for rap or like salsa. He randomly started saying ""yew"" like he was from Baltimore and it made me crack a smile. This song is also way too long. ",Black,Male
2,Kiss Land,The Weeknd,Alternative RnB,Kiss Land,"May 17, 2013",7:35,English,Canada,4.0/10,"My goodness, I hope all his instrumentals don't have this obnoxious ringing thing going on in the background. It sounds so weird. Ok halfway through it's getting better but this song is still way too long for what it's talking about. Yeah na this song wasn't it",Black,Male
3,House Of Balloons / Glass Table Girls,The Weeknd,RnB  ,House Of Balloons (Original),"March 21, 2011",6:47,English,Canada,4.3/10,"This was reminiscent of the song Rocketeer by Far East Movement at times. Weirdly enough, I hate his rap/speaking voice but I think that part of this song was better. It's like he has the ability to sing, and his voice can sound pleasant but the melody and the lyrics and the instrumental are so annoying that it makes me not enjoy it. ",Black,Male
4,The Morning,The Weeknd,RnB & Soul,House Of Balloons (Original),"January 3, 2011",5:14,English,Canada,5.4/10,So I don't have much to say about this song. So far I still thing his instrumental choice is atrocious but this song otherwise was pretty good. Best one so far. ,Black,Male
5,Earned It (Fifty Shades Of Grey),The Weeknd,Chamber Pop & RnB,Beauty Behind The Madness,"December 17, 2014",4:38,English,Canada,7.4/10,Oh this that one popular song. Didn't know it was from Fifty Shades of Grey but I've also never seen that so. This is easily leaps and bounds above every other song I have heard so far and it's probably because the instrumental is actually really good. He already has a solid voice so yeah. ,Black,Male
6,Kiss Land,The Weeknd,RnB,Kiss Land,"May 17, 2013",7:35,English,Canada,4.0/10,"My goodness, I hope all his instrumentals don't have this obnoxious ringing thing going on in the background. It sounds so weird. Ok halfway through it's getting better but this song is still way too long for what it's talking about. Yeah na this song wasn't it",Black,Male
7,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd & JENNIE & Lily-Rose Depp,RnB,The Idol Episode 4 (Music from the HBO Original Series) ,"June 23, 2023",4:05,English,South Korea & Canada & United States,5.8/10,"Annoyed with the first person, this whisper singer era is straight buns. The Weeknd tho has a strong performance. The lyrics speak to me fr fr. ",Asian & White & Black,Male & Female & Female
8,Party Monster,The Weeknd,Trap,Starboy,"November 18, 2016",4:09,English,Canada,5.0/10,This dude really is way too freaked out like what's actually going on man maybe these were picked for this playlist but this can't be all he talks about. ,Black,Male
9,I Was Never There,The Weeknd & Gesaffelstein,Alternative RnB,"My Dear Melancholy,","March 30, 2018",4:01,English,France & Canada,4.7/10,Ever so slighly below average ,White & Black,Male & Male
10,Call Out My Name,The Weeknd,RnB,"My Dear Melancholy,","March 30, 2018",3:48,English,Canada,6.3/10,"The chorus is really strong, the verses did not move me",Black,Male
11,Often,The Weeknd,Alternative RnB & Trap,Beauty Behind The Madness,"June 24, 2014",4:09,English,Canada,6.5/10,"Turns out I knew a few more songs from this dude than I thought. This song isn't bad. The beat choice is finally decent. Second song I would call good, even Taylor wasn't bad.",Black,Male
12,End Game,Taylor Swift & Ed Sheeran & Future,Pop Rap & RnB,reputation,"November 10, 2017",4:05,English,England & United States,7.4/10,Immediately if this is the chorus no. Future rode the beat kinda nice but the autotune sounded weird on this type of beat. YOOO why is Ed Sheeran kind of Sliding wth ,White & Black,Female & Male & Male
13,Committed,Rauw Alejandro & Pharrell Williams,Salsa y Tropical & Reggaeton,Cosa Nuestra,"November 15, 2024",2:39,Spanish & English,Puerto Rico & United States,8.0/10,This is a strong maybe for something I would put on my playlist. It is a nice song and I don't have too much Rauw experience so it's a good impression. ,Mixed & Black,Male & Male
14,Belong to the City,PARTYNEXTDOOR,RnB & Soul,PARTYNEXTDOOR TWO,"July 29, 2014",1:38,English,United States,6.5/10,First impression of partynextdoor and I thought he was a rapper icl. Short song so can't rate it too highly but it was good. ,Black,Male
